full_date,date,weekday,time,mood,activities,note
5/03/2019,5-Mar,Tuesday,8:32,good,gaming | cycling | herpes,super Bad herpes.
4/03/2019,4-Mar,Monday,21:00,good,work | gaming | cooking | herpes,
4/03/2019,4-Mar,Monday,13:35,good,work | reading | gaming | herpes | coffee,
3/03/2019,3-Mar,Sunday,23:17,good,friends | running | gaming | herpes | drawing,
3/03/2019,3-Mar,Sunday,10:01,good,gaming | herpes,hungover
2/03/2019,2-Mar,Saturday,21:00,good,friends | reading | gaming | herpes,beach!
2/03/2019,2-Mar,Saturday,10:48,good,friends | gaming | herpes,
1/03/2019,1-Mar,Friday,21:25,good,reading | gaming | sick | herpes,
1/03/2019,1-Mar,Friday,8:53,meh,learning | sick | herpes,
28/02/2019,28-Feb,Thursday,21:00,meh,friends | gaming | sick | herpes,
28/02/2019,28-Feb,Thursday,8:08,meh,sick,"joint weakness and inflammation, memories of illness"
27/02/2019,27-Feb,Wednesday,8:08,meh,reading | gaming | sick,
27/02/2019,27-Feb,Wednesday,8:00,good,reading | sick,
26/02/2019,26-Feb,Tuesday,21:05,good,work | reading | gaming | cycling | sick,"travel planning, still a bit sick"
26/02/2019,26-Feb,Tuesday,8:00,meh,reading,tired!
25/02/2019,25-Feb,Monday,23:06,bad,gaming | sick,went home sick
25/02/2019,25-Feb,Monday,8:00,good,reading,
24/02/2019,24-Feb,Sunday,22:00,rad,friends | running | reading | gaming | cleaning | sex | cooking,
24/02/2019,24-Feb,Sunday,8:23,good,relax | gaming,
23/02/2019,23-Feb,Saturday,8:43,good,relax | gaming,
22/02/2019,22-Feb,Friday,23:12,rad,work | relax | gaming | cycling,
22/02/2019,22-Feb,Friday,8:04,good,reading,
21/02/2019,21-Feb,Thursday,21:00,good,gaming | cooking | read news,worked on paper
21/02/2019,21-Feb,Thursday,8:14,meh,,tired
20/02/2019,20-Feb,Wednesday,22:25,good,work | relax | reading | gaming | good meal | procrastinating,"saw parents, still deleting fb stuff"
20/02/2019,20-Feb,Wednesday,11:12,rad,work,deleting facebook
19/02/2019,19-Feb,Tuesday,21:18,good,work | relax | herpes,"bad food, super tired from exercise! trying to delete Facebook content"
19/02/2019,19-Feb,Tuesday,8:00,good,reading | cleaning,
18/02/2019,18-Feb,Monday,21:26,rad,work | running | reading | good meal | programming | cooking | herpes,talked to simone on phone
18/02/2019,18-Feb,Monday,8:00,good,reading,
17/02/2019,17-Feb,Sunday,21:00,good,relax | running | reading | gaming | procrastinating | programming | hiking | cooking | read news,
17/02/2019,17-Feb,Sunday,8:22,rad,hiking,
16/02/2019,16-Feb,Saturday,21:52,good,friends | reading | gaming | cleaning | cycling | herpes | drawing,dnd and carrot cake
16/02/2019,16-Feb,Saturday,9:00,rad,friends | reading | gaming | cycling,"didnt sleep till 1am, tired!"
15/02/2019,15-Feb,Friday,22:58,good,work | reading | gaming | cooking,
15/02/2019,15-Feb,Friday,8:00,good,reading | gaming | cooking,
14/02/2019,14-Feb,Thursday,21:32,good,work | reading | gaming | cycling | programming | herpes,
14/02/2019,14-Feb,Thursday,8:02,meh,gaming | procrastinating | read news,
13/02/2019,13-Feb,Wednesday,21:47,meh,work | gaming | cleaning | procrastinating | cooking | read news,dust storm with no warning >:(
13/02/2019,13-Feb,Wednesday,8:00,good,reading,
12/02/2019,12-Feb,Tuesday,22:31,good,work | running | procrastinating | herpes,saw parents
12/02/2019,12-Feb,Tuesday,20:45,rad,running,just finished good run
12/02/2019,12-Feb,Tuesday,8:18,meh,read news,worried i accidentally said something bad
11/02/2019,11-Feb,Monday,21:13,meh,work | reading | gaming | good meal | procrastinating | cooking | weights | read news,
11/02/2019,11-Feb,Monday,8:00,good,reading | good meal | cooking,
10/02/2019,10-Feb,Sunday,22:52,good,friends | reading | gaming | good meal | cleaning | procrastinating | cooking,
10/02/2019,10-Feb,Sunday,8:58,rad,gaming | cycling,
9/02/2019,9-Feb,Saturday,21:00,rad,relax | friends | reading | gaming | good meal | procrastinating | cooking,
9/02/2019,9-Feb,Saturday,8:58,bad,gaming | procrastinating,missing simone
9/02/2019,9-Feb,Saturday,8:38,rad,reading | gaming | cooking,
8/02/2019,8-Feb,Friday,22:55,rad,work | relax | running | reading | gaming | good meal | weights | bus,found out work i did will be published!
8/02/2019,8-Feb,Friday,8:36,good,cleaning | sex,
7/02/2019,7-Feb,Thursday,21:00,good,date | good meal | sex | read news,
7/02/2019,7-Feb,Thursday,15:00,bad,work,
7/02/2019,7-Feb,Thursday,8:38,good,reading | good meal | read news,
6/02/2019,6-Feb,Wednesday,21:57,rad,running,
6/02/2019,6-Feb,Wednesday,21:22,good,work | reading,trip planning
6/02/2019,6-Feb,Wednesday,9:57,good,work | cooking,
5/02/2019,5-Feb,Tuesday,22:15,good,work | gaming | good meal | weights | bus,"sick of bus, researching nz trip"
5/02/2019,5-Feb,Tuesday,8:00,good,reading | weights,
4/02/2019,4-Feb,Monday,22:09,good,work | running | reading | gaming | good meal | bus,"qpcr problems still, otherwise good"
4/02/2019,4-Feb,Monday,8:46,good,work | gaming | weights,
3/02/2019,3-Feb,Sunday,8:10,good,travel | camping/hiking overnight,was bad until i flossed
2/02/2019,2-Feb,Saturday,21:29,rad,reading | gaming | travel | good meal | cleaning | cooking | camping/hiking overnight,
2/02/2019,2-Feb,Saturday,8:42,good,relax | gaming | weights,
1/02/2019,1-Feb,Friday,21:33,good,work | relax | procrastinating | cycling | herpes,
1/02/2019,1-Feb,Friday,9:19,good,relax | gaming,
31/01/2019,31-Jan,Thursday,21:08,good,work,"13hr work day, rascals with simone"
31/01/2019,31-Jan,Thursday,8:02,good,work,"7am start, gross!"
30/01/2019,30-Jan,Wednesday,22:34,good,work | reading | gaming | procrastinating | herpes,
29/01/2019,29-Jan,Tuesday,21:10,good,work | friends | movies | herpes,"weird movie ""glass"", meh work day"
25/01/2019,25-Jan,Friday,22:49,good,work | gaming | procrastinating,
25/01/2019,25-Jan,Friday,8:51,meh,reading | sick,still tired and a bit sick
24/01/2019,24-Jan,Thursday,21:00,bad,work | sick,
24/01/2019,24-Jan,Thursday,9:08,rad,reading,"obsessed with seveneves again, content with work"
23/01/2019,23-Jan,Wednesday,21:00,good,work | relax | reading | gaming | cooking,
23/01/2019,23-Jan,Wednesday,8:33,good,learning | sex,playing with weather board
22/01/2019,22-Jan,Tuesday,21:15,good,work | movies | reading | gaming | procrastinating,
22/01/2019,22-Jan,Tuesday,9:05,good,work | gaming,"ksp, drove to work, got weather breakout board"
21/01/2019,21-Jan,Monday,22:23,good,work | reading | gaming | good meal | cycling,
21/01/2019,21-Jan,Monday,9:42,good,work | gaming | cycling,
20/01/2019,20-Jan,Sunday,23:16,rad,relax | friends | running | gaming | cleaning | procrastinating,ksp and dnd
20/01/2019,20-Jan,Sunday,8:00,bad,travel,flight delayed by >1:30hrs
19/01/2019,19-Jan,Saturday,22:59,good,date | running | reading | travel | good meal | procrastinating,walking around Melbourne
19/01/2019,19-Jan,Saturday,9:22,good,sleeping,"sleep in, gf cuddles"
18/01/2019,18-Jan,Friday,21:00,good,relax | travel,tennis
18/01/2019,18-Jan,Friday,8:27,good,,"in melbourne, bad sleep"
17/01/2019,17-Jan,Thursday,21:04,rad,work | running | reading | travel,
17/01/2019,17-Jan,Thursday,8:22,good,running | sleeping,fucking humidity
16/01/2019,16-Jan,Wednesday,21:48,good,work | relax | friends | reading | good meal | procrastinating,had an off night after dinner with friends
16/01/2019,16-Jan,Wednesday,8:01,rad,reading | sleeping | programming | sex,
15/01/2019,15-Jan,Tuesday,21:11,rad,work | running | reading | gaming,"KSP, Daniel got preggers"
15/01/2019,15-Jan,Tuesday,8:10,rad,relax | gaming,
14/01/2019,14-Jan,Monday,21:00,good,reading | gaming | cycling,
14/01/2019,14-Jan,Monday,8:00,good,reading | shopping,
13/01/2019,13-Jan,Sunday,21:41,meh,gaming | good meal | cleaning | procrastinating,"fed sourdough, played ksp"
13/01/2019,13-Jan,Sunday,8:17,rad,sleeping | sex,
12/01/2019,12-Jan,Saturday,21:00,rad,relax | friends | programming | hiking,programming arduino
12/01/2019,12-Jan,Saturday,8:59,good,hiking,hungry
11/01/2019,11-Jan,Friday,22:35,good,relax | movies | gaming | programming,
11/01/2019,11-Jan,Friday,9:12,meh,work | programming,bus
10/01/2019,10-Jan,Thursday,21:20,good,relax | date | shopping,"dinner date, phone shopping"
10/01/2019,10-Jan,Thursday,10:20,good,work | cycling,
9/01/2019,9-Jan,Wednesday,22:21,good,running,data analysis
9/01/2019,9-Jan,Wednesday,15:41,good,work | reading,
9/01/2019,9-Jan,Wednesday,8:02,meh,procrastinating,
8/01/2019,8-Jan,Tuesday,21:54,meh,procrastinating,
8/01/2019,8-Jan,Tuesday,8:36,good,,determined
7/01/2019,7-Jan,Monday,22:11,good,work | reading | learning,
7/01/2019,7-Jan,Monday,8:00,rad,reading,researching nz trip
6/01/2019,6-Jan,Sunday,22:45,good,,
6/01/2019,6-Jan,Sunday,11:11,good,shopping,
5/01/2019,5-Jan,Saturday,11:57,good,good meal,
4/01/2019,4-Jan,Friday,23:31,good,sleeping,
4/01/2019,4-Jan,Friday,10:42,good,travel,
